,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
0,11-1011.00,Chief Executives,0.97,1,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",4.57,4.75,4.75,5,5.37,5.28,4.27,4.45
1,11-1011.03,Chief Sustainability Officers,0.89,1,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",4.05,4.12,3.88,4.12,4.58,5.43,4.48,4.52
2,11-1021.00,General and Operations Managers,0.7,1,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.47,4,3.62,3.75,4.07,4.32,3.65,4.03
3,11-2011.00,Advertising and Promotions Managers,0.84,1,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",4,4.12,4.12,3.88,3.47,4.49,3.99,3.88
4,11-2021.00,Marketing Managers,0.86,1,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",3.93,4.25,4.12,3.88,3.51,4.65,4.15,4
5,11-2022.00,Sales Managers,0.83,1,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",3.84,4,3.88,3.88,4.03,5.07,4.13,4.14
6,11-3012.00,Administrative Services Managers,0.61,1,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",3.36,3.88,3.38,3.12,3.97,4.63,3.85,4.04
7,11-3021.00,Computer and Information Systems Managers,0.84,1,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",3.77,4,3.88,3.88,4.88,5.15,3.7,4.25
8,11-3031.00,Financial Managers,0.79,1,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",3.84,4,4,3.5,4.01,4.41,3.33,3.87
9,11-3031.01,Treasurers and Controllers,0.97,1,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",4.07,4.75,4.25,4.38,5.14,5.25,3.71,4.62
10,11-3031.03,Investment Fund Managers,0.85,1,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",3.93,4,3.88,3.88,5.17,4.58,3.35,4.79
11,11-3051.00,Industrial Production Managers,0.83,1,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",4.02,4,4,3.88,3.74,4.39,3.75,4.09
12,11-3051.01,Quality Control Systems Managers,0.83,1,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",3.65,4.12,4,4,4.81,4.62,3.84,4.64
13,11-3051.02,Geothermal Production Managers,0.65,1,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,3.61,3.88,3.25,3.62,4.76,4.9,4.35,4.41
14,11-3051.03,Biofuels Production Managers,0.69,1,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",3.63,3.88,3.62,3.75,4.41,4.53,4.06,4.29
15,11-3051.04,Biomass Power Plant Managers,0.79,1,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",3.8,4,3.38,3.75,4.57,4.91,3.51,4.08
