,O*NET-SOC Code,Title,Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
0,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",NaN,"Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.",2.82,3.0,2.88,2.88,3.19,2.75,3.14,3.35
1,27-1024.00,Graphic Designers,NaN,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.",3.41,3.62,3.12,3.0,3.17,4.51,4.46,3.85
2,29-1213.00,Dermatologists,NaN,"Diagnose and treat diseases relating to the skin, hair, and nails. May perform both medical and dermatological surgery functions.",4.29,4.25,3.88,3.88,3.85,4.18,3.75,4.34
3,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",NaN,"Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.",2.75,2.88,2.12,2.75,2.59,2.92,3.75,3.4
4,29-2099.05,Ophthalmic Medical Technologists,NaN,"Assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography. Provide instruction and supervision to other ophthalmic personnel. Assist with minor surgical procedures, applying aseptic techniques and preparing instruments. May perform eye exams, administer eye medications, and instruct patients in care and use of corrective lenses.",3.21,3.62,3.0,2.88,3.0,3.19,2.8,3.5
5,27-2012.05,Media Technical Directors/Managers,NaN,"Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs.",3.77,4.0,3.62,3.62,3.79,4.59,3.3,3.03
6,51-9071.06,Gem and Diamond Workers,NaN,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.",2.95,3.12,2.62,2.62,2.93,3.11,3.28,3.47
7,17-2072.00,"Electronics Engineers, Except Computer",NaN,"Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",3.95,4.0,3.75,4.12,4.88,4.64,4.3,4.53
8,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",NaN,"Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines.",3.0,3.12,3.0,3.12,2.52,3.61,3.3,4.29
9,51-7021.00,Furniture Finishers,NaN,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.",2.98,3.12,2.75,2.75,3.23,3.37,3.76,3.56
10,27-2011.00,Actors,NaN,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",3.13,3.0,2.62,2.62,1.27,2.68,4.06,3.25
11,27-4011.00,Audio and Video Technicians,NaN,"Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events.",3.36,3.75,3.0,3.0,3.69,4.29,3.85,3.92
12,39-2011.00,Animal Trainers,NaN,"Train animals for riding, harness, security, performance, or obedience, or for assisting persons with disabilities. Accustom animals to human voice and contact, and condition animals to respond to commands. Train animals according to prescribed standards for show or competition. May train animals to carry pack loads or work as part of pack team.",3.29,3.38,3.12,2.75,3.12,4.21,3.79,3.77
13,19-4061.00,Social Science Research Assistants,NaN,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",3.32,3.88,3.62,3.12,4.12,4.02,3.05,4.02
14,11-9199.01,Regulatory Affairs Managers,NaN,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",3.64,4.12,3.88,3.38,5.02,5.06,3.18,4.25
15,29-2011.02,Cytotechnologists,NaN,"Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices.",3.45,3.88,3.5,3.12,3.49,3.19,2.59,4.14
